=== Episode: 10x10_karmasik_ep0 (D3QN) ===
Start: (5, 3) | Goal: (1, 3)
Step  | Robot      | Action     | Mode    | Reward  | Total   | Dyn Obs Positions
194   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -116.50 | (4, 4), (5, 6)
195   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -94.25  | (3, 4), (5, 5)
196   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -118.50 | (2, 4), (5, 5)
197   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -96.25  | (1, 4), (5, 6)
198   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -120.50 | (1, 4), (5, 6)
199   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -98.25  | (2, 4), (5, 5)
200   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -122.50 | (3, 4), (5, 5)
201   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -100.25 | (4, 4), (5, 6)
202   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -124.50 | (4, 4), (5, 6)
203   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -102.25 | (3, 4), (5, 5)
204   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -126.50 | (2, 4), (5, 5)
205   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -104.25 | (1, 4), (5, 6)
206   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -128.50 | (1, 4), (5, 6)
207   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -106.25 | (2, 4), (5, 5)
208   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -130.50 | (3, 4), (5, 5)
209   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -108.25 | (4, 4), (5, 6)
210   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -132.50 | (4, 4), (5, 6)
211   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -110.25 | (3, 4), (5, 5)
212   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -134.50 | (2, 4), (5, 5)
213   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -112.25 | (1, 4), (5, 6)
214   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -136.50 | (1, 4), (5, 6)
215   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -114.25 | (2, 4), (5, 5)
216   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -138.50 | (3, 4), (5, 5)
217   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -116.25 | (4, 4), (5, 6)
218   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -140.50 | (4, 4), (5, 6)
219   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -118.25 | (3, 4), (5, 5)
220   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -142.50 | (2, 4), (5, 5)
221   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -120.25 | (1, 4), (5, 6)
222   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -144.50 | (1, 4), (5, 6)
223   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -122.25 | (2, 4), (5, 5)
224   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -146.50 | (3, 4), (5, 5)
225   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -124.25 | (4, 4), (5, 6)
226   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -148.50 | (4, 4), (5, 6)
227   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -126.25 | (3, 4), (5, 5)
